Meddr료vne selitve po: STAROSTNE SKUPINE, SELITVE, SPOL, LETO ,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DR꾀VLJANSTVO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Spol - SKUPAJ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;2000; ;2001; ;2002; ;2003; ;2004; ;2005; ;2006; ;2007; ;2008; ;2009; ;2010; ;2011; ;2012; ;2013; ;2014; ;2015; 
 ; ;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani;Dr료vljani Republike Slovenije;Tuji dr료vljani
Starostne skupine - SKUPAJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Priseljeni iz tujine;935;5250;1030;6773;1432;7702;1268;8011;1574;8597;1747;13294;1765;18251;1689;27504;2631;28062;2903;27393;2711;12705;3318;10765;2741;12281;2250;11621;2535;11311;2755;12665
 ;Odseljeni v tujino;1559;2011;1442;3369;2624;4645;1887;3980;2265;6004;2077;6528;2703;11046;3178;11765;4766;7343;3717;15071;3905;12032;4679;7345;8191;6187;7789;5595;8129;6207;8654;6259
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vir: Statisti迫i urad Republike Slovenije. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
prebivalstva Slovenije, objavljeno leta 2008. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Do konca leta 2007 so podatki o odseljenih tujih dr료vljanih ocena ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statisti迫ega urada Republike Slovenije. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e=8150 target=_blank) Metodolo뚊a pojasnila ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Starost je 搏s, ki je pretekel od rojstva osebe do opazovanega ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dogodka (selitve). Prikazana je v dopolnjenih letih starosti.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
